CO_IBGE7,MUNICIPIO,ANO,PIB,POPULACAO_ESTIMADA,PIB_PERCAPTA,empresas_geral,empresas_hospedagem,empresas_saude,empresas_transporte,empresas_alimenticio,empresas_vestuario
2500106,Água Branca - PB,2002,14239000,8414.0,1692.298550035655,16.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2003,18100000,8431.0,2146.8390463764676,17.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2004,17961000,8466.0,2121.545003543586,19.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2005,19615000,8486.0,2311.4541597925995,19.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2006,24770000,8506.0,2912.0620738302373,21.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2007,27245000,,,24.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2008,31976000,9477.0,3374.0635222116703,27.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2009,36588000,9581.0,3818.808057614028,28.0,0.0,0.0,0.0,0.0,0.0
2500106,Água Branca - PB,2010,40110000,,,39.0,0.0,0.0,0.0,1.0,0.0
2500106,Água Branca - PB,2011,44489000,9532.0,4667.331095258078,52.0,0.0,1.0,0.0,1.0,0.0
2500106,Água Branca - PB,2012,49023000,9611.0,5100.7179273748825,56.0,0.0,1.0,1.0,1.0,0.0
2500106,Água Branca - PB,2013,54926000,9893.0,5552.006469220661,67.0,0.0,1.0,1.0,2.0,0.0
2500106,Água Branca - PB,2014,64603000,9990.0,6466.7667667667665,76.0,0.0,1.0,1.0,3.0,0.0
2500106,Água Branca - PB,2015,70799000,10083.0,7021.620549439651,89.0,0.0,2.0,2.0,3.0,0.0
2500106,Água Branca - PB,2016,75099000,10172.0,7382.913881242627,97.0,0.0,2.0,3.0,3.0,0.0
2500106,Água Branca - PB,2017,77222000,10258.0,7527.978163384675,125.0,0.0,2.0,4.0,3.0,0.0
2500106,Água Branca - PB,2018,79901000,10161.0,7863.497687235508,143.0,0.0,2.0,7.0,4.0,0.0
2500106,Água Branca - PB,2019,82544000,10234.0,8065.663474692203,162.0,0.0,2.0,7.0,4.0,0.0
2500106,Água Branca - PB,2020,86556000,10306.0,8398.602755676306,184.0,0.0,2.0,11.0,5.0,0.0
2500106,Água Branca - PB,2021,92036000,10375.0,8870.939759036144,217.0,0.0,3.0,12.0,11.0,1.0
2500205,Aguiar - PB,2002,10942000,5297.0,2065.697564659241,16.0,0.0,0.0,0.0,2.0,0.0
2500205,Aguiar - PB,2003,12754000,5139.0,2481.8057987935395,16.0,0.0,0.0,0.0,2.0,0.0
2500205,Aguiar - PB,2004,13193000,4806.0,2745.110278818144,,,,,,
2500205,Aguiar - PB,2005,15175000,4622.0,3283.210731285158,19.0,0.0,0.0,0.0,2.0,0.0
2500205,Aguiar - PB,2006,17367000,4440.0,3911.4864864864867,20.0,0.0,0.0,0.0,2.0,0.0
2500205,Aguiar - PB,2007,18897000,,,24.0,0.0,0.0,0.0,3.0,0.0
2500205,Aguiar - PB,2008,22190000,5789.0,3833.131801692866,30.0,0.0,0.0,0.0,3.0,0.0
2500205,Aguiar - PB,2009,24192000,5799.0,4171.753750646663,34.0,0.0,0.0,0.0,3.0,0.0
2500205,Aguiar - PB,2010,25768000,,,36.0,0.0,0.0,0.0,4.0,0.0
2500205,Aguiar - PB,2011,28877000,5522.0,5229.445852951829,37.0,0.0,0.0,0.0,4.0,0.0
2500205,Aguiar - PB,2012,31362000,5514.0,5687.7040261153425,49.0,0.0,0.0,0.0,5.0,0.0
2500205,Aguiar - PB,2013,35153000,5586.0,6293.054063730756,52.0,0.0,0.0,0.0,5.0,0.0
2500205,Aguiar - PB,2014,37811000,5580.0,6776.1648745519715,60.0,0.0,0.0,0.0,5.0,0.0
2500205,Aguiar - PB,2015,39795000,5573.0,7140.678270231473,71.0,0.0,1.0,0.0,5.0,0.0
2500205,Aguiar - PB,2016,44336000,5567.0,7964.074007544458,85.0,0.0,1.0,0.0,5.0,0.0
2500205,Aguiar - PB,2017,47394000,5562.0,8521.0355987055,100.0,0.0,2.0,0.0,8.0,0.0
2500205,Aguiar - PB,2018,46221000,5571.0,8296.715131933226,118.0,0.0,2.0,0.0,11.0,0.0
2500205,Aguiar - PB,2019,50141000,5640.0,8890.248226950354,126.0,0.0,2.0,0.0,12.0,0.0
2500205,Aguiar - PB,2020,55808000,5630.0,9912.611012433392,134.0,0.0,2.0,0.0,12.0,0.0
2500205,Aguiar - PB,2021,60096000,5622.0,10689.434364994664,149.0,0.0,2.0,0.0,14.0,0.0
2500304,Alagoa Grande - PB,2002,52967000,28967.0,1828.5290157765733,64.0,0.0,0.0,0.0,5.0,0.0
2500304,Alagoa Grande - PB,2003,65834000,28874.0,2280.0443305395856,69.0,0.0,0.0,0.0,5.0,0.0
2500304,Alagoa Grande - PB,2004,68992000,28677.0,2405.8304564633677,72.0,0.0,0.0,0.0,6.0,0.0
2500304,Alagoa Grande - PB,2005,73430000,28568.0,2570.3584430131614,76.0,0.0,0.0,0.0,6.0,0.0
2500304,Alagoa Grande - PB,2006,83935000,28460.0,2949.2269852424456,81.0,0.0,0.0,0.0,6.0,0.0
2500304,Alagoa Grande - PB,2007,95983000,,,87.0,0.0,0.0,0.0,7.0,0.0
2500304,Alagoa Grande - PB,2008,117880000,28246.0,4173.334277419812,98.0,0.0,1.0,0.0,8.0,0.0
2500304,Alagoa Grande - PB,2009,122112000,28126.0,4341.605631799758,110.0,0.0,1.0,0.0,8.0,0.0
2500304,Alagoa Grande - PB,2010,139060000,,,140.0,0.0,2.0,2.0,13.0,0.0
2500304,Alagoa Grande - PB,2011,164281000,28427.0,5779.048088085271,170.0,0.0,2.0,2.0,17.0,1.0
2500304,Alagoa Grande - PB,2012,172724000,28375.0,6087.1894273127755,206.0,0.0,2.0,3.0,21.0,1.0
2500304,Alagoa Grande - PB,2013,195412000,28733.0,6800.960567988028,267.0,0.0,2.0,29.0,24.0,1.0
2500304,Alagoa Grande - PB,2014,211284000,28689.0,7364.634528913521,306.0,0.0,2.0,34.0,28.0,1.0
2500304,Alagoa Grande - PB,2015,225941000,28646.0,7887.349019060252,341.0,0.0,3.0,43.0,29.0,2.0
2500304,Alagoa Grande - PB,2016,239625000,28604.0,8377.324849671375,377.0,1.0,4.0,44.0,33.0,2.0
2500304,Alagoa Grande - PB,2017,266622000,28565.0,9333.870120777176,434.0,1.0,5.0,57.0,35.0,3.0
2500304,Alagoa Grande - PB,2018,256890000,28623.0,8974.950214862174,493.0,1.0,8.0,63.0,40.0,3.0
2500304,Alagoa Grande - PB,2019,276069000,28496.0,9687.991297024144,569.0,1.0,11.0,71.0,43.0,4.0
2500304,Alagoa Grande - PB,2020,281480000,28439.0,9897.67572699462,659.0,2.0,11.0,77.0,56.0,5.0
2500304,Alagoa Grande - PB,2021,300116000,28384.0,10573.421645997745,758.0,3.0,12.0,84.0,68.0,5.0
2500403,Alagoa Nova - PB,2002,57007000,18737.0,3042.482788066393,36.0,0.0,1.0,0.0,7.0,0.0
2500403,Alagoa Nova - PB,2003,83072000,18813.0,4415.670015414873,41.0,0.0,1.0,0.0,8.0,0.0
2500403,Alagoa Nova - PB,2004,73324000,18971.0,3865.0571925570607,42.0,0.0,1.0,0.0,8.0,0.0
2500403,Alagoa Nova - PB,2005,95171000,19059.0,4993.493887402277,43.0,0.0,1.0,0.0,9.0,0.0
2500403,Alagoa Nova - PB,2006,114743000,19146.0,5993.053379295937,45.0,0.0,1.0,0.0,9.0,0.0
2500403,Alagoa Nova - PB,2007,110526000,,,49.0,0.0,1.0,0.0,9.0,0.0
2500403,Alagoa Nova - PB,2008,127179000,19700.0,6455.786802030457,62.0,0.0,1.0,0.0,9.0,0.0
2500403,Alagoa Nova - PB,2009,148792000,19799.0,7515.127026617506,66.0,0.0,1.0,0.0,9.0,0.0
2500403,Alagoa Nova - PB,2010,139938000,,,84.0,0.0,1.0,0.0,11.0,0.0
2500403,Alagoa Nova - PB,2011,177696000,19766.0,8989.98279874532,105.0,0.0,1.0,0.0,12.0,1.0
2500403,Alagoa Nova - PB,2012,167736000,19849.0,8450.602045443095,131.0,0.0,1.0,0.0,14.0,1.0
2500403,Alagoa Nova - PB,2013,237754000,20294.0,11715.482408593673,169.0,0.0,1.0,5.0,14.0,3.0
2500403,Alagoa Nova - PB,2014,223175000,20399.0,10940.487278788176,219.0,0.0,1.0,8.0,22.0,3.0
2500403,Alagoa Nova - PB,2015,257150000,20500.0,12543.90243902439,253.0,0.0,1.0,8.0,24.0,3.0
2500403,Alagoa Nova - PB,2016,250824000,20596.0,12178.287046028356,296.0,0.0,1.0,9.0,30.0,4.0
2500403,Alagoa Nova - PB,2017,225945000,20689.0,10921.020832326358,344.0,0.0,1.0,11.0,36.0,7.0
2500403,Alagoa Nova - PB,2018,287713000,20589.0,13974.112390111224,391.0,0.0,2.0,13.0,42.0,8.0
2500403,Alagoa Nova - PB,2019,325790000,20849.0,15626.169120821143,441.0,0.0,3.0,14.0,53.0,9.0
2500403,Alagoa Nova - PB,2020,331770000,20921.0,15858.228574159935,517.0,0.0,8.0,16.0,62.0,9.0
2500403,Alagoa Nova - PB,2021,335056000,20992.0,15961.128048780487,587.0,0.0,8.0,19.0,73.0,9.0
2500502,Alagoinha - PB,2002,21048000,11992.0,1755.1701134089392,26.0,0.0,0.0,1.0,1.0,1.0
2500502,Alagoinha - PB,2003,25354000,12067.0,2101.1021794978037,28.0,0.0,0.0,2.0,1.0,1.0
2500502,Alagoinha - PB,2004,28110000,12822.0,2192.3256902199346,33.0,0.0,0.0,3.0,1.0,1.0
2500502,Alagoinha - PB,2005,31503000,12895.0,2443.0399379604496,34.0,0.0,0.0,3.0,2.0,1.0
2500502,Alagoinha - PB,2006,35953000,12967.0,2772.6536592889643,39.0,0.0,0.0,3.0,2.0,1.0
2500502,Alagoinha - PB,2007,38478000,,,49.0,0.0,0.0,3.0,2.0,1.0
2500502,Alagoinha - PB,2008,36191000,13389.0,2703.039808798267,57.0,0.0,0.0,4.0,3.0,1.0
2500502,Alagoinha - PB,2009,49422000,13470.0,3669.042316258352,64.0,0.0,0.0,4.0,3.0,1.0
2500502,Alagoinha - PB,2010,56027000,,,74.0,0.0,0.0,4.0,4.0,1.0
2500502,Alagoinha - PB,2011,63842000,13660.0,4673.645680819912,98.0,0.0,0.0,5.0,7.0,1.0
2500502,Alagoinha - PB,2012,72202000,13740.0,5254.876273653566,111.0,0.0,0.0,5.0,9.0,1.0
2500502,Alagoinha - PB,2013,71854000,14088.0,5100.369108461102,127.0,0.0,1.0,7.0,10.0,1.0
2500502,Alagoinha - PB,2014,83955000,14188.0,5917.324499577107,149.0,0.0,1.0,8.0,11.0,2.0
2500502,Alagoinha - PB,2015,91454000,14284.0,6402.548305796696,169.0,0.0,1.0,9.0,12.0,2.0
2500502,Alagoinha - PB,2016,99535000,14376.0,6923.692264885921,192.0,0.0,1.0,11.0,14.0,3.0
2500502,Alagoinha - PB,2017,108721000,14464.0,7516.662057522124,217.0,0.0,2.0,14.0,19.0,4.0
2500502,Alagoinha - PB,2018,109852000,14367.0,7646.133500382822,259.0,1.0,2.0,27.0,22.0,4.0
2500502,Alagoinha - PB,2019,114818000,14489.0,7924.494444061012,308.0,1.0,3.0,43.0,26.0,4.0
2500502,Alagoinha - PB,2020,122810000,14560.0,8434.752747252747,357.0,1.0,4.0,46.0,30.0,5.0
2500502,Alagoinha - PB,2021,138510000,14629.0,9468.179643174517,418.0,1.0,4.0,54.0,38.0,5.0
2500536,Alcantil - PB,2002,10138000,5105.0,1985.896180215475,,,,,,
2500536,Alcantil - PB,2003,12849000,5174.0,2483.3784306146117,8.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2004,13061000,5317.0,2456.460410005642,8.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2005,15946000,5397.0,2954.604409857328,8.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2006,17326000,5475.0,3164.566210045662,8.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2007,17937000,,,9.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2008,20693000,5211.0,3971.0228363078104,10.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2009,22955000,5232.0,4387.423547400612,12.0,0.0,0.0,0.0,0.0,0.0
2500536,Alcantil - PB,2010,24458000,,,15.0,0.0,0.0,0.0,0.0,0.0
